cell_id,class,model,raw_circularity_ae,closing_circularity_ae,dual_null_circularity_ae,benefit_closing,benefit_null,specific_advantage,raw_nucleus_dice,closing_nucleus_dice,dual_null_nucleus_dice,raw_foreground_dice,closing_foreground_dice,dual_null_foreground_dice,raw_nc_ae,closing_nc_ae,dual_null_nc_ae,raw_area_ae,closing_area_ae,dual_null_area_ae,raw_invalid,closing_invalid,dual_null_invalid,raw_pred_circularity,gt_circularity,roundness_group
157181481-157181497-004,normal_columnar,baseline,0.1825333769268609,0.21952932999918895,0.2202183021613091,-0.02444632024639659,-0.02515875054627048,0.0007124302998738896,0.944326391840204,0.9439728353140917,0.9431239388794567,0.8859794266377412,0.8856329500955247,0.8849847882316746,0.08552240613418899,0.08775195840487787,0.08775195840487787,65.0,68.0,68.0,0.0,0.0,0.0,0.7973386243215385,0.6148052473946776,over_circular
157181671-157181697-001,normal_superficiel,baseline,0.23075251870908675,0.14303500312284345,0.14303500312284345,0.08362294857310637,0.0836229511429537,-1.8198241802380721e-09,0.9327272727272727,0.9377817853922452,0.9323715058611362,0.9566887385132189,0.9592331423336904,0.956506683030912,0.0004828794451538108,0.0004351515016811948,0.0004351515016811948,27.0,35.0,35.0,0.0,0.0,0.0,0.608742520685179,0.8394950393942657,under_circular
157183193-157183279-001,normal_superficiel,baseline,0.20085241153584454,0.09884481654829869,0.11965911825398767,0.11133649080442787,0.1113364928515379,-2.0471100370400563e-09,0.8880813953488372,0.8933717579250721,0.877521613832853,0.8917282558633737,0.8974907339184592,0.8974907339184592,0.0017689956648624938,0.0015706396875850553,0.0015706396875850553,130.0,120.0,120.0,0.0,0.0,0.0,0.6720241817452727,0.8728765932811172,under_circular
157183828-157183877-001,normal_intermediate,baseline,0.16782442857931845,0.056243092376744186,0.055504371256738017,0.10830108052129161,0.108874140183147,-0.0005730596618553907,0.9260159777700591,0.9225984796129924,0.921907394609537,0.9431535448440875,0.9461265106027779,0.9453022719587589,0.0011112455186786559,0.0013759553365054744,0.0013759553365054744,203.0,204.0,204.0,0.0,0.0,0.0,0.6818020285403398,0.8496264571196582,under_circular
157183964-157183980-001,normal_superficiel,baseline,0.19666950564129504,0.0632187753858352,0.06321877123499942,0.13562127932642887,0.13562128355962244,-4.233193573455196e-09,0.9429097605893186,0.9508196721311475,0.9476534296028881,0.9120421625443171,0.916038408211939,0.9146038425197353,0.0004961843768377175,0.0002055112711361589,0.0002055112711361589,20.0,8.0,8.0,0.0,0.0,0.0,0.6494807805929149,0.84615028623421,under_circular
157184013-157184031-001,normal_superficiel,baseline,0.14627878480784273,0.004616646999748064,0.028599104745338888,0.10449562011678826,0.08864453967784491,0.015851080438943344,0.6344916344916345,0.6190476190476191,0.6190476190476191,0.7813687937887863,0.7732651817979805,0.7732651817979805,0.02225428846897523,0.023871449843118252,0.023871449843118252,562.0,604.0,604.0,0.0,0.0,0.0,0.6621336742044703,0.8084124590123131,under_circular
157184850-157184920-002,normal_columnar,baseline,0.28348178662482953,0.30768537252191525,0.3096971516447961,-0.01656904363373435,-0.01656904363373435,0.0,0.8322147651006712,0.8314538250533374,0.832063395306309,0.794877757432028,0.7938913280954853,0.7938913280954853,0.02842517515148235,0.027143329476995548,0.027143329476995548,138.0,141.0,141.0,0.0,0.0,0.0,0.6165596117415869,0.3330778251167574,over_circular
157184850-157184942-001,normal_superficiel,baseline,0.10370837901113639,0.051040715038728535,0.051040715038728535,0.05266766397240785,0.05266766397240785,0.0,0.8319018404907975,0.8418491484184915,0.8418491484184915,0.8756543717763062,0.879679286876623,0.879679286876623,0.0013930409233983265,0.0012967251382078613,0.0012967251382078613,137.0,130.0,130.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4392867334252617,0.5429951124363981,under_circular
157185208-157185238-001,normal_superficiel,baseline,0.24516771606922938,0.17432585956583646,0.1743258563826715,0.06892864674253985,0.06892864674253985,0.0,0.9315673289183223,0.9365994236311239,0.9365994236311239,0.9408966063270976,0.9440418964820022,0.9455149164662607,0.0007528054059018231,0.000675356788129888,0.000675356788129888,27.0,19.0,19.0,0.0,0.0,0.0,0.6409580998718226,0.886125815941052,under_circular
157185433-157185479-002,normal_columnar,baseline,0.03369931247020175,0.05966148035638885,0.061086338210278646,-0.008932918119339939,-0.008932919726898803,1.607558863803149e-09,0.9578544061302682,0.9582535427039448,0.9582535427039448,0.9077827552051021,0.908042962164756,0.9069374961853268,0.06804594756402249,0.06760825373659451,0.06760825373659451,74.0,73.0,73.0,0.0,0.0,0.0,0.8542418159615439,0.8205425034913422,over_circular
