cell_id,delta_closing_circularity_ae,delta_null_circularity_ae,delta_specific_circularity_ae,closing_benefit_circularity_ae,null_benefit_circularity_ae
149057812-149057825-005,0.0063244795224968176,-0.008613513471542045,0.014937992994038862,-0.0063244795224968176,0.008613513471542045
149057812-149057847-004,0.0,0.0,0.0,0.0,0.0
149057812-149057847-005,0.023920688931095446,-0.002472963135045303,0.02639365206614075,-0.023920688931095446,0.002472963135045303
149058262-149058272-003,-0.026284067150528667,0.004081214885656936,-0.030365282036185604,0.026284067150528667,-0.004081214885656936
149061666-149061699-003,-0.02938153012517375,-0.011999788931795208,-0.01738174119337854,0.02938153012517375,0.011999788931795208
149095913-149095926-001,-0.07636613608439169,-0.0767676373825038,0.0004015012981121169,0.07636613608439169,0.0767676373825038
149097324-149097373-001,0.010948223254424128,-0.009153219566573445,0.020101442820997573,-0.010948223254424128,0.009153219566573445
149097594-149097637-001,-0.05430075313503974,0.0001343909009527411,-0.05443514403599248,0.05430075313503974,-0.0001343909009527411
149097594-149097637-002,0.004255665264203068,0.002743395523222114,0.0015122697409809538,-0.004255665264203068,-0.002743395523222114
149098972-149098988-002,0.015907115124675908,-0.008766285382809436,0.024673400507485344,-0.015907115124675908,0.008766285382809436
149099096-149099104-001,0.0,0.0,0.0,0.0,0.0
149099276-149099290-001,-0.10093655225190623,-0.017934331310892837,-0.0830022209410134,0.10093655225190623,0.017934331310892837
149099276-149099290-002,-0.0238805575929274,-0.01427556242424799,-0.009604995168679409,0.0238805575929274,0.01427556242424799
149099502-149099525-002,-0.03111069977989589,-0.002351394299437204,-0.028759305480458686,0.03111069977989589,0.002351394299437204
149100006-149100028-002,0.0,0.0,0.0,0.0,0.0
149100064-149100072-001,-0.15253016110549833,-0.011676866952283094,-0.14085329415321524,0.15253016110549833,0.011676866952283094
149101620-149101650-001,0.01485829827265317,-0.0025666591798484406,0.01742495745250161,-0.01485829827265317,0.0025666591798484406
149102442-149102451-001,-0.004078102881456491,-0.003614739605274364,-0.00046336327618212714,0.004078102881456491,0.003614739605274364
149102510-149102519-001,0.03977614137394314,0.002161283873368225,0.037614857500574916,-0.03977614137394314,-0.002161283873368225
149105003-149105050-001,-0.0129263965534967,0.01262638956396167,-0.02555278611745837,0.0129263965534967,-0.01262638956396167
149105289-149105300-001,-0.0032768926837577483,0.0,-0.0032768926837577483,0.0032768926837577483,0.0
149105289-149105300-002,-0.030690986511265783,0.0053077612561899246,-0.03599874776745571,0.030690986511265783,-0.0053077612561899246
149105289-149105311-001,-0.01840860785441789,0.0035469784442443975,-0.02195558629866229,0.01840860785441789,-0.0035469784442443975
149105289-149105311-003,-0.04303147051959655,1.901352211963747e-05,-0.043050484041716186,0.04303147051959655,-1.901352211963747e-05
149105289-149105311-004,-0.009485716968155422,0.007367443974659937,-0.01685316094281536,0.009485716968155422,-0.007367443974659937
149140081-149140096-002,-0.06073145536799951,-0.0068341795875828115,-0.0538972757804167,0.06073145536799951,0.0068341795875828115
149140849-149140856-001,0.053238926077290694,0.00339252143548463,0.049846404641806064,-0.053238926077290694,-0.00339252143548463
149143028-149143108-002,-0.03095045876245739,-0.011085855358043184,-0.019864603404414205,0.03095045876245739,0.011085855358043184
149143469-149143497-003,0.023571759804481895,-0.005291775331112025,0.02886353513559392,-0.023571759804481895,0.005291775331112025
149146837-149146854-001,0.003906285408996846,0.003334594101675248,0.0005716913073215979,-0.003906285408996846,-0.003334594101675248
149181904-149181927-001,0.016350111613263496,0.003560169719814099,0.012789941893449397,-0.016350111613263496,-0.003560169719814099
149181904-149181951-001,-0.01142862390111965,0.002509426366119727,-0.013938050267239377,0.01142862390111965,-0.002509426366119727
