cell_id,class,model,seed,raw_perimeter,closing_perimeter,null_perimeter,delta_perimeter_closing,delta_perimeter_null,delta_area_closing,delta_area_null,abs_delta_area_closing_minus_null,closing_fallback_to_raw,null_target_reduction,null_achieved_reduction,null_matching_error_abs,null_matching_error_pct,null_raw_fallback,null_within_tolerance
157185730-157185758-001,normal_columnar,nc_aware_lambda_0p10,20260803,386.0487701892853,383.1198377609253,383.26197278499603,-2.9289324283599854,-2.7867974042892456,5,-148,153,False,2.9289324283599854,2.7867974042892456,0.14213502407073975,0.048527928706885964,False,True
157185781-157185793-003,normal_columnar,nc_aware_lambda_0p10,20260803,332.977702498436,331.22034311294556,330.977702498436,-1.7573593854904175,-2.0,3,-80,83,False,1.7573593854904175,2.0,0.24264061450958252,0.13807114043543803,False,False
157222534-157222607-001,normal_superficiel,nc_aware_lambda_0p10,20260803,77.31370830535889,72.62741661071777,74.18376541137695,-4.686291694641113,-3.1299428939819336,19,-104,123,False,4.686291694641113,3.1299428939819336,1.5563488006591797,0.3321066852152848,False,False
157222647-157222687-001,normal_intermediate,nc_aware_lambda_0p10,20260803,165.4558436870575,154.911687374115,161.78174471855164,-10.544156312942505,-3.6740989685058594,18,-64,82,False,10.544156312942505,3.6740989685058594,6.8700573444366455,0.6515511664033226,False,False
157222801-157222811-001,normal_intermediate,nc_aware_lambda_0p10,20260803,128.5269113779068,117.98275589942932,119.88224971294403,-10.544155478477478,-8.644661664962769,27,-142,169,False,10.544155478477478,8.644661664962769,1.8994938135147095,0.18014660513987288,False,False
157223549-157223570-001,normal_intermediate,nc_aware_lambda_0p10,20260803,151.11269783973694,138.2253954410553,147.9238796234131,-12.88730239868164,-3.1888182163238525,65,-366,431,False,12.88730239868164,3.1888182163238525,9.698484182357788,0.7525612329349806,False,False
157224412-157224429-001,normal_superficiel,nc_aware_lambda_0p10,20260803,123.31370830535889,118.62741661071777,120.08326005935669,-4.686291694641113,-3.2304482460021973,13,-135,148,False,4.686291694641113,3.2304482460021973,1.455843448638916,0.31066001510399105,False,False
157224458-157224464-001,normal_intermediate,nc_aware_lambda_0p10,20260803,161.79898953437805,153.5979790687561,157.29646372795105,-8.201010465621948,-4.502525806427002,20,-92,112,False,8.201010465621948,4.502525806427002,3.6984846591949463,0.4509791414971034,False,False
157224458-157224483-001,normal_superficiel,nc_aware_lambda_0p10,20260803,92.72792184352875,87.4558436870575,87.74011409282684,-5.272078156471252,-4.987807750701904,9,-43,52,False,5.272078156471252,4.987807750701904,0.28427040576934814,0.053919990814327794,False,True
157227058-157227087-001,normal_columnar,nc_aware_lambda_0p10,20260803,233.96550965309143,232.20814990997314,231.96550941467285,-1.7573597431182861,-2.000000238418579,3,-28,31,False,1.7573597431182861,2.000000238418579,0.24264049530029297,0.13807104450324323,False,False
